Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2013,Nova Scotia,Other Health Spending: Net of HCC,"11,91,31,668","48,23,53,572","60,14,85,240",654.9,80.37
2014,Nova Scotia,Other Health Spending: Net of HCC,"12,44,84,889","50,36,13,037","62,80,97,926",651.5,80.48
2015,Nova Scotia,Other Health Spending: Net of HCC,"12,95,78,769","52,19,62,643","65,15,41,412",674.2,80.35
2016,Nova Scotia,Other Health Spending: Net of HCC,"14,10,91,812","53,82,64,874","67,93,56,686",680.8,80.43
2017,Nova Scotia,Other Health Spending: Net of HCC,"15,33,87,921","55,44,53,001","70,78,40,922",694.2,80.41
2018,Nova Scotia,Other Health Spending: Net of HCC,"15,81,07,131","57,42,57,702","73,23,64,832",674.1,80.47
2019,Nova Scotia,Other Health Spending: Net of HCC,"15,96,68,582","59,33,85,269","75,30,53,851",651.8,80.39
2020,Nova Scotia,Other Health Spending: Net of HCC,"15,56,20,494","61,23,40,227","76,79,60,721",660.9,80.46
2021,Nova Scotia,Other Health Spending: Net of HCC,"17,01,59,746","65,32,16,172","82,33,75,918",650.7,80.57
2022,Nova Scotia,Other Health Spending: Net of HCC,"18,41,61,382","73,72,43,527","92,14,04,909",656.4,80.63
2023,Nova Scotia,Other Health Spending: Net of HCC,"20,46,35,253","78,19,39,334","98,65,74,587",657.8,80.68
2003,Nova Scotia,COVID-19 Response Funding,—,—,0,523.76,78.67
2004,Nova Scotia,COVID-19 Response Funding,—,—,0,543.7,78.98
2005,Nova Scotia,COVID-19 Response Funding,—,—,0,576.8,79.11
2006,Nova Scotia,COVID-19 Response Funding,—,—,0,622.1,79.4
2007,Nova Scotia,COVID-19 Response Funding,—,—,0,617,79.58
2008,Nova Scotia,COVID-19 Response Funding,—,—,0,596.2,79.78
2009,Nova Scotia,COVID-19 Response Funding,—,—,0,592.6,79.94
2010,Nova Scotia,COVID-19 Response Funding,—,—,0,625.2,80.17
2011,Nova Scotia,COVID-19 Response Funding,—,—,0,612.8,80.25
2012,Nova Scotia,COVID-19 Response Funding,—,—,0,646.8,80.34
2013,Nova Scotia,COVID-19 Response Funding,—,—,0,654.9,80.37
2014,Nova Scotia,COVID-19 Response Funding,—,—,0,651.5,80.48
2015,Nova Scotia,COVID-19 Response Funding,—,—,0,674.2,80.35
2016,Nova Scotia,COVID-19 Response Funding,—,—,0,680.8,80.43
2017,Nova Scotia,COVID-19 Response Funding,—,—,0,694.2,80.41
2018,Nova Scotia,COVID-19 Response Funding,—,—,0,674.1,80.47
2019,Nova Scotia,COVID-19 Response Funding,—,—,0,651.8,80.39
2020,Nova Scotia,COVID-19 Response Funding,"22,55,18,994","51,08,17,781","73,63,36,774",660.9,80.46
2021,Nova Scotia,COVID-19 Response Funding,"31,93,41,094","57,88,92,880","89,82,33,974",650.7,80.57
2022,Nova Scotia,COVID-19 Response Funding,"8,24,20,726","13,85,73,181","22,09,93,906",656.4,80.63
2023,Nova Scotia,COVID-19 Response Funding,—,—,0,657.8,80.68
2003,Nova Scotia,Total,"2,27,10,09,563","2,48,41,52,061","4,75,51,61,625",523.76,78.67
2004,Nova Scotia,Total,"2,36,16,28,854","2,58,51,77,961","4,94,68,06,815",543.7,78.98
2005,Nova Scotia,Total,"2,57,68,71,477","2,82,05,96,422","5,39,74,67,899",576.8,79.11
2006,Nova Scotia,Total,"2,85,50,45,487","3,13,72,31,689","5,99,22,77,176",622.1,79.4
2007,Nova Scotia,Total,"3,09,64,94,733","3,38,54,93,365","6,48,19,88,098",617,79.58
2008,Nova Scotia,Total,"3,23,55,92,122","3,52,48,26,634","6,76,04,18,756",596.2,79.78
2009,Nova Scotia,Total,"3,38,76,79,080","3,69,28,10,145","7,08,04,89,224",592.6,79.94
2010,Nova Scotia,Total,"3,74,30,78,176","4,05,07,40,704","7,79,38,18,880",625.2,80.17
2011,Nova Scotia,Total,"3,98,50,39,048","4,29,94,98,513","8,28,45,37,561",612.8,80.25
2012,Nova Scotia,Total,"4,08,82,06,982","4,45,56,34,875","8,54,38,41,857",646.8,80.34
2013,Nova Scotia,Total,"4,12,67,74,513","4,49,82,13,099","8,62,49,87,612",654.9,80.37
2014,Nova Scotia,Total,"4,19,96,64,592","4,55,86,48,267","8,75,83,12,859",651.5,80.48
2015,Nova Scotia,Total,"4,27,72,44,397","4,63,36,25,698","8,91,08,70,095",674.2,80.35
2016,Nova Scotia,Total,"4,29,49,90,570","4,65,93,58,768","8,95,43,49,339",680.8,80.43
2017,Nova Scotia,Total,"4,41,83,31,584","4,78,62,68,026","9,20,45,99,609",694.2,80.41
2018,Nova Scotia,Total,"4,57,42,61,485","4,96,72,77,584","9,54,15,39,069",674.1,80.47
2019,Nova Scotia,Total,"4,80,67,22,712","5,20,75,95,833","10,01,43,18,546",651.8,80.39
2020,Nova Scotia,Total,"5,25,89,32,012","5,98,84,59,148","11,24,73,91,159",660.9,80.46
2021,Nova Scotia,Total,"5,67,76,23,973","6,43,64,31,847","12,11,40,55,820",650.7,80.57
2022,Nova Scotia,Total,"6,27,42,89,770","6,84,46,89,414","13,11,89,79,184",656.4,80.63
2023,Nova Scotia,Total,"6,60,05,16,203","7,13,12,96,735","13,73,18,12,938",657.8,80.68
2003,New Brunswick,Hospitals,"89,33,33,779","92,81,51,006","1,82,14,84,784",521.7,79.11
2004,New Brunswick,Hospitals,"96,33,22,489","99,87,10,305","1,96,20,32,794",548.7,79.33
2005,New Brunswick,Hospitals,"1,02,24,72,872","1,06,02,90,095","2,08,27,62,967",562.8,79.51
2006,New Brunswick,Hospitals,"1,09,01,99,660","1,12,53,05,623","2,21,55,05,283",584.7,79.81
2007,New Brunswick,Hospitals,"1,18,62,04,291","1,22,22,85,037","2,40,84,89,329",598.3,79.92
2008,New Brunswick,Hospitals,"1,27,65,55,240","1,31,29,03,992","2,58,94,59,231",608.5,80.05
2009,New Brunswick,Hospitals,"1,35,23,89,530","1,39,16,73,509","2,74,40,63,039",605.4,80.04
2010,New Brunswick,Hospitals,"1,40,79,89,206","1,45,05,15,555","2,85,85,04,761",598.9,80.34
2011,New Brunswick,Hospitals,"1,42,42,72,935","1,46,58,80,834","2,89,01,53,768",605.5,80.66
2012,New Brunswick,Hospitals,"1,44,55,99,844","1,48,99,36,280","2,93,55,36,124",604.1,80.86
2013,New Brunswick,Hospitals,"1,45,97,38,869","1,50,27,77,819","2,96,25,16,687",631.7,80.97
2014,New Brunswick,Hospitals,"1,44,78,88,433","1,49,18,29,470","2,93,97,17,903",619.5,80.96
2015,New Brunswick,Hospitals,"1,46,71,17,754","1,51,18,50,639","2,97,89,68,393",632.9,80.89
2016,New Brunswick,Hospitals,"1,43,59,49,483","1,48,31,46,563","2,91,90,96,046",643.2,80.74
2017,New Brunswick,Hospitals,"1,44,83,03,609","1,49,77,16,078","2,94,60,19,688",657.4,80.67
2018,New Brunswick,Hospitals,"1,49,74,23,891","1,54,60,96,506","3,04,35,20,397",659.3,80.65
2019,New Brunswick,Hospitals,"1,55,14,74,101","1,59,94,57,326","3,15,09,31,427",663.1,80.72
2020,New Brunswick,Hospitals,"1,53,68,68,716","1,57,54,36,596","3,11,23,05,312",638.2,80.84
2021,New Brunswick,Hospitals,"1,66,25,70,861","1,69,83,55,826","3,36,09,26,687",676.5,80.92
2022,New Brunswick,Hospitals,"1,82,13,33,045","1,85,82,44,675","3,67,95,77,720",660.5,81.1
2023,New Brunswick,Hospitals,"1,89,65,90,680","1,93,42,38,803","3,83,08,29,482",670.2,81.17
2003,New Brunswick,Physicians,"34,05,46,216","34,89,41,924","68,94,88,141",521.7,79.11
2004,New Brunswick,Physicians,"37,19,66,447","38,06,45,039","75,26,11,486",548.7,79.33
2005,New Brunswick,Physicians,"39,29,35,557","40,36,14,228","79,65,49,785",562.8,79.51
2006,New Brunswick,Physicians,"41,90,73,934","43,09,80,369","85,00,54,303",584.7,79.81
2007,New Brunswick,Physicians,"44,64,58,550","45,72,46,320","90,37,04,870",598.3,79.92
2008,New Brunswick,Physicians,"48,06,93,717","49,19,15,934","97,26,09,651",608.5,80.05
2009,New Brunswick,Physicians,"51,55,56,225","52,85,43,363","1,04,40,99,588",605.4,80.04
2010,New Brunswick,Physicians,"54,09,44,500","55,44,76,143","1,09,54,20,643",598.9,80.34
2011,New Brunswick,Physicians,"57,26,81,500","58,61,42,596","1,15,88,24,096",605.5,80.66
2012,New Brunswick,Physicians,"58,84,71,601","60,19,61,117","1,19,04,32,719",604.1,80.86
2013,New Brunswick,Physicians,"57,82,23,700","59,23,35,024","1,17,05,58,724",631.7,80.97
2014,New Brunswick,Physicians,"58,63,27,000","60,06,47,938","1,18,69,74,938",619.5,80.96
2015,New Brunswick,Physicians,"60,60,08,750","62,12,46,936","1,22,72,55,686",632.9,80.89
2016,New Brunswick,Physicians,"62,63,62,500","64,28,75,403","1,26,92,37,903",643.2,80.74
2017,New Brunswick,Physicians,"64,43,07,225","66,23,35,143","1,30,66,42,368",657.4,80.67
2018,New Brunswick,Physicians,"65,90,73,459","67,86,09,328","1,33,76,82,787",659.3,80.65
2019,New Brunswick,Physicians,"67,48,31,319","69,58,13,472","1,37,06,44,791",663.1,80.72
2020,New Brunswick,Physicians,"68,18,85,567","70,19,69,311","1,38,38,54,878",638.2,80.84
2021,New Brunswick,Physicians,"69,84,48,464","72,00,97,663","1,41,85,46,128",676.5,80.92
2022,New Brunswick,Physicians,"74,52,35,033","76,77,88,565","1,51,30,23,598",660.5,81.1
2023,New Brunswick,Physicians,"82,14,13,470","84,44,67,902","1,66,58,81,373",670.2,81.17
2003,New Brunswick,Other Professionals,"44,56,264","1,63,38,512","2,07,94,776",521.7,79.11
2004,New Brunswick,Other Professionals,"43,48,829","1,58,12,912","2,01,61,741",548.7,79.33
2005,New Brunswick,Other Professionals,"45,40,509","1,64,78,697","2,10,19,206",562.8,79.51
2006,New Brunswick,Other Professionals,"45,64,411","1,58,87,157","2,04,51,568",584.7,79.81
2007,New Brunswick,Other Professionals,"44,74,868","1,62,05,019","2,06,79,887",598.3,79.92
2008,New Brunswick,Other Professionals,"54,76,258","1,74,88,051","2,29,64,309",608.5,80.05
2009,New Brunswick,Other Professionals,"58,65,761","1,91,75,354","2,50,41,115",605.4,80.04
2010,New Brunswick,Other Professionals,"63,74,316","2,03,35,958","2,67,10,274",598.9,80.34
2011,New Brunswick,Other Professionals,"66,44,397","1,93,31,258","2,59,75,655",605.5,80.66
2012,New Brunswick,Other Professionals,"71,37,728","2,10,68,174","2,82,05,902",604.1,80.86
2013,New Brunswick,Other Professionals,"81,67,092","2,13,17,862","2,94,84,953",631.7,80.97
2014,New Brunswick,Other Professionals,"83,29,551","2,11,65,938","2,94,95,489",619.5,80.96
2015,New Brunswick,Other Professionals,"85,53,337","2,27,71,836","3,13,25,173",632.9,80.89
2016,New Brunswick,Other Professionals,"88,78,369","2,59,66,010","3,48,44,379",643.2,80.74
2017,New Brunswick,Other Professionals,"92,64,498","3,17,04,261","4,09,68,759",657.4,80.67
2018,New Brunswick,Other Professionals,"98,40,192","3,36,67,230","4,35,07,421",659.3,80.65
2019,New Brunswick,Other Professionals,"99,74,108","3,39,86,647","4,39,60,755",663.1,80.72
2020,New Brunswick,Other Professionals,"83,94,320","2,76,21,539","3,60,15,859",638.2,80.84
2021,New Brunswick,Other Professionals,"84,25,093","2,81,37,164","3,65,62,256",676.5,80.92
2022,New Brunswick,Other Professionals,"93,50,643","3,04,06,567","3,97,57,209",660.5,81.1
2023,New Brunswick,Other Professionals,"1,07,21,431","3,29,10,262","4,36,31,692",670.2,81.17
2003,New Brunswick,Drugs,"11,13,94,887","13,49,58,015","24,63,52,903",521.7,79.11
2004,New Brunswick,Drugs,"12,35,68,551","14,84,37,620","27,20,06,171",548.7,79.33
2005,New Brunswick,Drugs,"13,49,45,818","16,09,88,899","29,59,34,718",562.8,79.51
2006,New Brunswick,Drugs,"14,54,66,327","17,21,37,548","31,76,03,875",584.7,79.81
2007,New Brunswick,Drugs,"15,36,54,334","18,09,29,726","33,45,84,060",598.3,79.92
2008,New Brunswick,Drugs,"16,05,57,604","18,90,50,079","34,96,07,683",608.5,80.05
2009,New Brunswick,Drugs,"17,38,83,842","20,14,15,224","37,52,99,066",605.4,80.04
2010,New Brunswick,Drugs,"18,65,88,057","21,42,21,243","40,08,09,300",598.9,80.34
2011,New Brunswick,Drugs,"19,47,69,146","22,39,06,172","41,86,75,318",605.5,80.66
2012,New Brunswick,Drugs,"18,70,23,218","21,63,01,018","40,33,24,236",604.1,80.86
2013,New Brunswick,Drugs,"17,52,51,881","20,15,28,810","37,67,80,691",631.7,80.97
2014,New Brunswick,Drugs,"17,74,19,250","20,22,25,594","37,96,44,844",619.5,80.96
2015,New Brunswick,Drugs,"18,72,13,989","21,37,50,597","40,09,64,586",632.9,80.89
2016,New Brunswick,Drugs,"19,59,40,604","22,25,89,417","41,85,30,020",643.2,80.74
2017,New Brunswick,Drugs,"20,19,93,975","22,68,17,493","42,88,11,468",657.4,80.67
2018,New Brunswick,Drugs,"20,35,53,128","22,89,89,760","43,25,42,888",659.3,80.65
2019,New Brunswick,Drugs,"21,64,99,777","24,39,50,182","46,04,49,959",663.1,80.72
2020,New Brunswick,Drugs,"22,23,83,668","26,91,02,818","49,14,86,486",638.2,80.84
2021,New Brunswick,Drugs,"21,31,19,920","27,18,29,893","48,49,49,813",676.5,80.92
2022,New Brunswick,Drugs,"23,34,29,615","29,40,59,447","52,74,89,061",660.5,81.1
2023,New Brunswick,Drugs,"26,17,70,701","32,37,07,831","58,54,78,532",670.2,81.17
2003,New Brunswick,Public Health,"6,24,46,995","9,10,43,427","15,34,90,422",521.7,79.11
2004,New Brunswick,Public Health,"6,50,07,187","9,50,41,150","16,00,48,337",548.7,79.33
2005,New Brunswick,Public Health,"7,77,39,856","10,69,92,898","18,47,32,753",562.8,79.51
2006,New Brunswick,Public Health,"8,38,53,793","11,50,58,974","19,89,12,767",584.7,79.81
2007,New Brunswick,Public Health,"8,94,19,425","12,28,33,141","21,22,52,566",598.3,79.92
2008,New Brunswick,Public Health,"9,79,61,392","13,40,09,779","23,19,71,171",608.5,80.05
2009,New Brunswick,Public Health,"10,96,71,028","15,18,04,067","26,14,75,096",605.4,80.04
2010,New Brunswick,Public Health,"10,88,19,013","14,73,16,973","25,61,35,986",598.9,80.34
2011,New Brunswick,Public Health,"12,00,83,432","16,53,67,709","28,54,51,141",605.5,80.66
2012,New Brunswick,Public Health,"12,53,62,291","16,93,88,593","29,47,50,884",604.1,80.86
2013,New Brunswick,Public Health,"13,10,63,537","17,28,24,806","30,38,88,343",631.7,80.97
2014,New Brunswick,Public Health,"13,17,01,613","17,49,86,157","30,66,87,770",619.5,80.96
2015,New Brunswick,Public Health,"13,12,66,911","17,49,56,353","30,62,23,265",632.9,80.89
2016,New Brunswick,Public Health,"13,68,08,540","18,12,79,257","31,80,87,797",643.2,80.74
2017,New Brunswick,Public Health,"14,79,83,554","19,52,16,994","34,32,00,548",657.4,80.67
2018,New Brunswick,Public Health,"15,27,85,354","20,72,63,311","36,00,48,665",659.3,80.65
2019,New Brunswick,Public Health,"15,84,65,601","21,75,36,399","37,60,02,000",663.1,80.72
2020,New Brunswick,Public Health,"16,13,49,720","22,69,44,273","38,82,93,993",638.2,80.84
2021,New Brunswick,Public Health,"17,49,92,420","25,22,11,253","42,72,03,673",676.5,80.92
2022,New Brunswick,Public Health,"23,15,94,051","31,20,36,203","54,36,30,254",660.5,81.1
2023,New Brunswick,Public Health,"24,25,66,910","32,48,39,725","56,74,06,635",670.2,81.17
2003,New Brunswick,Administration,"3,18,36,250","4,92,11,861","8,10,48,111",521.7,79.11
2004,New Brunswick,Administration,"3,08,89,175","4,93,35,640","8,02,24,815",548.7,79.33
2005,New Brunswick,Administration,"3,00,15,207","5,46,92,282","8,47,07,489",562.8,79.51
2006,New Brunswick,Administration,"3,27,76,761","5,79,21,002","9,06,97,763",584.7,79.81
2007,New Brunswick,Administration,"3,67,50,975","6,26,14,701","9,93,65,676",598.3,79.92
2008,New Brunswick,Administration,"3,47,65,525","6,04,39,631","9,52,05,156",608.5,80.05
2009,New Brunswick,Administration,"3,49,02,675","6,28,40,571","9,77,43,246",605.4,80.04
2010,New Brunswick,Administration,"3,72,49,350","6,42,18,444","10,14,67,794",598.9,80.34
2011,New Brunswick,Administration,"3,17,06,375","6,05,17,417","9,22,23,792",605.5,80.66
2012,New Brunswick,Administration,"2,90,31,552","5,73,20,286","8,63,51,838",604.1,80.86
2013,New Brunswick,Administration,"2,77,06,426","5,48,36,661","8,25,43,086",631.7,80.97
2014,New Brunswick,Administration,"2,68,12,498","5,23,46,669","7,91,59,167",619.5,80.96
2015,New Brunswick,Administration,"2,83,98,694","5,37,80,459","8,21,79,152",632.9,80.89
2016,New Brunswick,Administration,"3,28,55,563","6,03,84,638","9,32,40,201",643.2,80.74
2017,New Brunswick,Administration,"2,21,49,298","5,35,42,699","7,56,91,997",657.4,80.67
2018,New Brunswick,Administration,"1,75,59,328","5,15,58,827","6,91,18,155",659.3,80.65
2019,New Brunswick,Administration,"1,97,82,833","5,26,08,330","7,23,91,163",663.1,80.72
2020,New Brunswick,Administration,"2,55,65,497","5,97,37,342","8,53,02,839",638.2,80.84
2021,New Brunswick,Administration,"2,79,18,165","6,71,80,968","9,50,99,133",676.5,80.92
2022,New Brunswick,Administration,"4,23,46,723","8,30,87,035","12,54,33,758",660.5,81.1
2023,New Brunswick,Administration,"4,55,15,105","8,72,04,247","13,27,19,352",670.2,81.17
2003,New Brunswick,Other Health Spending: Net of HCC,"10,03,77,106","12,80,97,116","22,84,74,222",521.7,79.11
2004,New Brunswick,Other Health Spending: Net of HCC,"10,75,65,249","13,94,38,706","24,70,03,955",548.7,79.33
2005,New Brunswick,Other Health Spending: Net of HCC,"12,07,31,586","15,68,81,088","27,76,12,673",562.8,79.51
2006,New Brunswick,Other Health Spending: Net of HCC,"13,94,27,398","17,78,12,883","31,72,40,281",584.7,79.81
2007,New Brunswick,Other Health Spending: Net of HCC,"15,76,22,631","19,48,21,314","35,24,43,945",598.3,79.92
2008,New Brunswick,Other Health Spending: Net of HCC,"17,02,76,299","23,47,80,886","40,50,57,185",608.5,80.05
2009,New Brunswick,Other Health Spending: Net of HCC,"18,07,42,584","23,92,59,888","42,00,02,471",605.4,80.04
2010,New Brunswick,Other Health Spending: Net of HCC,"19,02,59,477","24,08,37,887","43,10,97,364",598.9,80.34
2011,New Brunswick,Other Health Spending: Net of HCC,"19,66,14,978","24,72,11,700","44,38,26,677",605.5,80.66
2012,New Brunswick,Other Health Spending: Net of HCC,"24,83,80,678","31,81,83,800","56,65,64,478",604.1,80.86
2013,New Brunswick,Other Health Spending: Net of HCC,"12,43,88,891","34,50,43,521","46,94,32,412",631.7,80.97
2014,New Brunswick,Other Health Spending: Net of HCC,"12,97,31,651","35,00,66,151","47,97,97,802",619.5,80.96
2015,New Brunswick,Other Health Spending: Net of HCC,"13,23,83,270","36,22,28,146","49,46,11,416",632.9,80.89
2016,New Brunswick,Other Health Spending: Net of HCC,"13,53,88,287","37,35,01,268","50,88,89,556",643.2,80.74
2017,New Brunswick,Other Health Spending: Net of HCC,"14,16,49,338","39,01,78,127","53,18,27,465",657.4,80.67
2018,New Brunswick,Other Health Spending: Net of HCC,"14,71,30,677","40,92,50,843","55,63,81,520",659.3,80.65
2019,New Brunswick,Other Health Spending: Net of HCC,"15,26,58,950","41,84,05,407","57,10,64,357",663.1,80.72
2020,New Brunswick,Other Health Spending: Net of HCC,"15,95,87,081","43,78,87,810","59,74,74,891",638.2,80.84
2021,New Brunswick,Other Health Spending: Net of HCC,"16,91,81,814","45,22,12,668","62,13,94,482",676.5,80.92
2022,New Brunswick,Other Health Spending: Net of HCC,"17,09,87,312","47,19,52,765","64,29,40,078",660.5,81.1
2023,New Brunswick,Other Health Spending: Net of HCC,"17,77,09,215","50,51,20,961","68,28,30,176",670.2,81.17
2003,New Brunswick,COVID-19 Response Funding,—,—,0,521.7,79.11
2004,New Brunswick,COVID-19 Response Funding,—,—,0,548.7,79.33
2005,New Brunswick,COVID-19 Response Funding,—,—,0,562.8,79.51
2006,New Brunswick,COVID-19 Response Funding,—,—,0,584.7,79.81
2007,New Brunswick,COVID-19 Response Funding,—,—,0,598.3,79.92
2008,New Brunswick,COVID-19 Response Funding,—,—,0,608.5,80.05
2009,New Brunswick,COVID-19 Response Funding,—,—,0,605.4,80.04
2010,New Brunswick,COVID-19 Response Funding,—,—,0,598.9,80.34
2011,New Brunswick,COVID-19 Response Funding,—,—,0,605.5,80.66
2012,New Brunswick,COVID-19 Response Funding,—,—,0,604.1,80.86
2013,New Brunswick,COVID-19 Response Funding,—,—,0,631.7,80.97
2014,New Brunswick,COVID-19 Response Funding,—,—,0,619.5,80.96
2015,New Brunswick,COVID-19 Response Funding,—,—,0,632.9,80.89
2016,New Brunswick,COVID-19 Response Funding,—,—,0,643.2,80.74
2017,New Brunswick,COVID-19 Response Funding,—,—,0,657.4,80.67
2018,New Brunswick,COVID-19 Response Funding,—,—,0,659.3,80.65
2019,New Brunswick,COVID-19 Response Funding,—,—,0,663.1,80.72
2020,New Brunswick,COVID-19 Response Funding,"11,02,44,149","46,76,02,341","57,78,46,490",638.2,80.84
2021,New Brunswick,COVID-19 Response Funding,"21,27,46,872","53,81,84,074","75,09,30,946",676.5,80.92
2022,New Brunswick,COVID-19 Response Funding,"5,90,71,675","12,95,14,359","18,85,86,034",660.5,81.1
2023,New Brunswick,COVID-19 Response Funding,—,—,0,670.2,81.17
2003,New Brunswick,Total,"1,79,29,64,679","1,94,78,81,658","3,74,08,46,337",521.7,79.11
2004,New Brunswick,Total,"1,95,23,84,416","2,11,56,66,842","4,06,80,51,258",548.7,79.33
2005,New Brunswick,Total,"2,13,16,25,678","2,31,09,21,363","4,44,25,47,041",562.8,79.51
2006,New Brunswick,Total,"2,34,55,65,384","2,52,85,36,107","4,87,41,01,491",584.7,79.81
2007,New Brunswick,Total,"2,50,27,68,362","2,68,83,98,028","5,19,11,66,390",598.3,79.92
2008,New Brunswick,Total,"2,63,03,86,601","2,84,79,68,408","5,47,83,55,009",608.5,80.05
2009,New Brunswick,Total,"2,78,70,88,042","3,01,21,25,506","5,79,92,13,548",605.4,80.04
2010,New Brunswick,Total,"2,92,50,42,499","3,14,22,74,598","6,06,73,17,097",598.9,80.34
2011,New Brunswick,Total,"3,07,95,32,064","3,30,48,61,599","6,38,43,93,663",605.5,80.66
2012,New Brunswick,Total,"3,14,49,15,858","3,39,19,81,255","6,53,68,97,113",604.1,80.86
2013,New Brunswick,Total,"3,13,36,00,654","3,38,19,74,184","6,51,55,74,837",631.7,80.97
2014,New Brunswick,Total,"3,13,36,21,657","3,37,82,58,391","6,51,18,80,048",619.5,80.96
2015,New Brunswick,Total,"3,21,78,27,154","3,47,05,76,670","6,68,84,03,824",632.9,80.89
2016,New Brunswick,Total,"3,26,89,50,738","3,53,37,79,411","6,80,27,30,150",643.2,80.74
2017,New Brunswick,Total,"3,34,38,85,224","3,62,60,12,743","6,96,98,97,967",657.4,80.67
2018,New Brunswick,Total,"3,42,78,33,590","3,72,69,46,580","7,15,47,80,170",659.3,80.65
2019,New Brunswick,Total,"3,51,47,85,582","3,81,72,56,470","7,33,20,42,052",663.1,80.72
2020,New Brunswick,Total,"3,65,52,40,595","4,33,39,63,360","7,98,92,03,956",638.2,80.84
2021,New Brunswick,Total,"3,95,48,42,394","4,62,44,88,377","8,57,93,30,772",676.5,80.92
2022,New Brunswick,Total,"4,15,33,21,316","4,57,59,85,818","8,72,93,07,134",660.5,81.1
2023,New Brunswick,Total,"4,39,85,82,340","4,75,99,45,614","9,15,85,27,955",670.2,81.17
2003,Quebec,Hospitals,"7,01,45,19,823","7,09,72,31,169","14,11,17,50,992",511.8,79.43
2004,Quebec,Hospitals,"7,39,51,49,694","7,48,80,18,950","14,88,31,68,644",531.5,79.66
2005,Quebec,Hospitals,"7,74,87,15,940","7,83,54,11,806","15,58,41,27,745",546.5,79.93
2006,Quebec,Hospitals,"8,39,59,06,484","8,49,10,30,102","16,88,69,36,586",557.6,80.25
2007,Quebec,Hospitals,"9,03,96,01,807","9,13,83,84,588","18,17,79,86,395",565.9,80.52
2008,Quebec,Hospitals,"9,53,72,71,493","9,64,58,78,319","19,18,31,49,811",573.8,80.79
2009,Quebec,Hospitals,"10,11,14,44,649","10,22,30,04,454","20,33,44,49,103",585.9,80.99
2010,Quebec,Hospitals,"10,61,07,77,747","10,72,05,57,019","21,33,13,34,766",640.8,81.24
2011,Quebec,Hospitals,"10,81,49,87,861","10,92,32,10,151","21,73,81,98,011",685.8,81.46
2012,Quebec,Hospitals,"10,92,25,91,848","11,02,24,42,218","21,94,50,34,066",701.4,81.6
2013,Quebec,Hospitals,"11,08,86,93,048","11,18,52,62,813","22,27,39,55,861",621.5,81.77
2014,Quebec,Hospitals,"11,32,05,26,523","11,41,39,46,972","22,73,44,73,496",649,81.92
2015,Quebec,Hospitals,"11,66,58,98,956","11,76,24,13,895","23,42,83,12,851",656.8,82.05
2016,Quebec,Hospitals,"11,35,98,64,226","11,47,60,71,918","22,83,59,36,143",673.4,82.22
2017,Quebec,Hospitals,"12,20,01,49,221","12,32,49,01,806","24,52,50,51,027",672.9,82.36
2018,Quebec,Hospitals,"13,12,22,76,486","13,25,30,74,452","26,37,53,50,938",658.9,82.48
2019,Quebec,Hospitals,"13,85,92,64,209","13,99,40,86,213","27,85,33,50,423",670.4,82.63
2020,Quebec,Hospitals,"14,40,02,43,625","14,53,57,18,474","28,93,59,62,099",676.2,82.57
2021,Quebec,Hospitals,"15,25,75,54,508","15,39,83,74,979","30,65,59,29,487",670.5,82.62
2022,Quebec,Hospitals,"17,34,81,15,146","17,49,75,71,127","34,84,56,86,273",668.3,82.65
2023,Quebec,Hospitals,"17,59,77,48,122","17,74,83,54,209","35,34,61,02,331",665.8,82.72
2003,Quebec,Physicians,"3,07,72,27,683","3,09,89,48,617","6,17,61,76,301",511.8,79.43
2004,Quebec,Physicians,"3,28,49,50,728","3,30,69,62,821","6,59,19,13,549",531.5,79.66
2005,Quebec,Physicians,"3,34,46,02,320","3,36,88,01,734","6,71,34,04,054",546.5,79.93
2006,Quebec,Physicians,"3,46,28,10,460","3,48,83,76,463","6,95,11,86,923",557.6,80.25
2007,Quebec,Physicians,"3,69,02,40,929","3,71,73,70,490","7,40,76,11,419",565.9,80.52
2008,Quebec,Physicians,"4,09,32,83,108","4,13,26,70,042","8,22,59,53,150",573.8,80.79
2009,Quebec,Physicians,"4,55,92,03,565","4,60,31,64,654","9,16,23,68,219",585.9,80.99
2010,Quebec,Physicians,"4,94,60,59,387","4,99,02,93,036","9,93,63,52,423",640.8,81.24
2011,Quebec,Physicians,"5,33,44,15,037","5,37,46,74,816","10,70,90,89,853",685.8,81.46
2012,Quebec,Physicians,"5,63,89,84,670","5,67,29,04,002","11,31,18,88,672",701.4,81.6
2013,Quebec,Physicians,"6,24,61,33,163","6,27,60,44,448","12,52,21,77,611",621.5,81.77
2014,Quebec,Physicians,"6,60,39,03,099","6,63,23,59,505","13,23,62,62,604",649,81.92
2015,Quebec,Physicians,"7,16,98,13,313","7,20,01,37,664","14,36,99,50,977",656.8,82.05
2016,Quebec,Physicians,"7,71,16,62,873","7,74,35,46,467","15,45,52,09,340",673.4,82.22
2017,Quebec,Physicians,"7,92,37,44,303","7,95,98,16,970","15,88,35,61,273",672.9,82.36
2018,Quebec,Physicians,"7,86,81,33,004","7,91,08,15,276","15,77,89,48,280",658.9,82.48
2019,Quebec,Physicians,"7,91,13,32,160","7,96,20,47,518","15,87,33,79,678",670.4,82.63
