Year,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2020,Total,5258932012,5988459148,11247391159,660.9,80.46,0,0,0,0,0,1,0,0,0,0,0,0
2021,Total,5677623973,6436431847,12114055820,650.7,80.57,0,0,0,0,0,1,0,0,0,0,0,0
2022,Total,6274289770,6844689414,13118979184,656.4,80.63,0,0,0,0,0,1,0,0,0,0,0,0
2023,Total,6600516203,7131296735,13731812938,657.8,80.68,0,0,0,0,0,1,0,0,0,0,0,0
2003,Hospitals,893333779,928151006,1821484784,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Hospitals,963322489,998710305,1962032794,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Hospitals,1022472872,1060290095,2082762967,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Hospitals,1090199660,1125305623,2215505283,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Hospitals,1186204291,1222285037,2408489329,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Hospitals,1276555240,1312903992,2589459231,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Hospitals,1352389530,1391673509,2744063039,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Hospitals,1407989206,1450515555,2858504761,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Hospitals,1424272935,1465880834,2890153768,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Hospitals,1445599844,1489936280,2935536124,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Hospitals,1459738869,1502777819,2962516687,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Hospitals,1447888433,1491829470,2939717903,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Hospitals,1467117754,1511850639,2978968393,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Hospitals,1435949483,1483146563,2919096046,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Hospitals,1448303609,1497716078,2946019688,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Hospitals,1497423891,1546096506,3043520397,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Hospitals,1551474101,1599457326,3150931427,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Hospitals,1536868716,1575436596,3112305312,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Hospitals,1662570861,1698355826,3360926687,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Hospitals,1821333045,1858244675,3679577720,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Hospitals,1896590680,1934238803,3830829482,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Physicians,340546216,348941924,689488141,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Physicians,371966447,380645039,752611486,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Physicians,392935557,403614228,796549785,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Physicians,419073934,430980369,850054303,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Physicians,446458550,457246320,903704870,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Physicians,480693717,491915934,972609651,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Physicians,515556225,528543363,1044099588,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Physicians,540944500,554476143,1095420643,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Physicians,572681500,586142596,1158824096,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Physicians,588471601,601961117,1190432719,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Physicians,578223700,592335024,1170558724,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Physicians,586327000,600647938,1186974938,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Physicians,606008750,621246936,1227255686,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Physicians,626362500,642875403,1269237903,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Physicians,644307225,662335143,1306642368,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Physicians,659073459,678609328,1337682787,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Physicians,674831319,695813472,1370644791,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Physicians,681885567,701969311,1383854878,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Physicians,698448464,720097663,1418546128,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Physicians,745235033,767788565,1513023598,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Physicians,821413470,844467902,1665881373,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Other Professionals,4456264,16338512,20794776,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Other Professionals,4348829,15812912,20161741,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Other Professionals,4540509,16478697,21019206,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Other Professionals,4564411,15887157,20451568,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Other Professionals,4474868,16205019,20679887,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Other Professionals,5476258,17488051,22964309,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Other Professionals,5865761,19175354,25041115,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Other Professionals,6374316,20335958,26710274,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Other Professionals,6644397,19331258,25975655,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Other Professionals,7137728,21068174,28205902,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Other Professionals,8167092,21317862,29484953,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Other Professionals,8329551,21165938,29495489,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Other Professionals,8553337,22771836,31325173,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Other Professionals,8878369,25966010,34844379,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Other Professionals,9264498,31704261,40968759,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Other Professionals,9840192,33667230,43507421,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Other Professionals,9974108,33986647,43960755,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Other Professionals,8394320,27621539,36015859,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Other Professionals,8425093,28137164,36562256,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Other Professionals,9350643,30406567,39757209,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Other Professionals,10721431,32910262,43631692,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Drugs,111394887,134958015,246352903,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Drugs,123568551,148437620,272006171,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Drugs,134945818,160988899,295934718,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Drugs,145466327,172137548,317603875,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Drugs,153654334,180929726,334584060,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Drugs,160557604,189050079,349607683,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Drugs,173883842,201415224,375299066,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Drugs,186588057,214221243,400809300,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Drugs,194769146,223906172,418675318,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Drugs,187023218,216301018,403324236,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Drugs,175251881,201528810,376780691,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Drugs,177419250,202225594,379644844,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Drugs,187213989,213750597,400964586,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Drugs,195940604,222589417,418530020,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Drugs,201993975,226817493,428811468,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Drugs,203553128,228989760,432542888,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Drugs,216499777,243950182,460449959,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Drugs,222383668,269102818,491486486,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Drugs,213119920,271829893,484949813,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Drugs,233429615,294059447,527489061,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Drugs,261770701,323707831,585478532,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Public Health,62446995,91043427,153490422,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Public Health,65007187,95041150,160048337,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Public Health,77739856,106992898,184732753,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Public Health,83853793,115058974,198912767,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Public Health,89419425,122833141,212252566,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Public Health,97961392,134009779,231971171,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Public Health,109671028,151804067,261475096,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Public Health,108819013,147316973,256135986,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Public Health,120083432,165367709,285451141,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Public Health,125362291,169388593,294750884,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Public Health,131063537,172824806,303888343,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Public Health,131701613,174986157,306687770,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Public Health,131266911,174956353,306223265,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Public Health,136808540,181279257,318087797,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Public Health,147983554,195216994,343200548,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Public Health,152785354,207263311,360048665,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Public Health,158465601,217536399,376002000,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Public Health,161349720,226944273,388293993,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Public Health,174992420,252211253,427203673,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Public Health,231594051,312036203,543630254,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Public Health,242566910,324839725,567406635,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Administration,31836250,49211861,81048111,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Administration,30889175,49335640,80224815,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Administration,30015207,54692282,84707489,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Administration,32776761,57921002,90697763,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Administration,36750975,62614701,99365676,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Administration,34765525,60439631,95205156,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Administration,34902675,62840571,97743246,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Administration,37249350,64218444,101467794,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Administration,31706375,60517417,92223792,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Administration,29031552,57320286,86351838,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Administration,27706426,54836661,82543086,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Administration,26812498,52346669,79159167,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Administration,28398694,53780459,82179152,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Administration,32855563,60384638,93240201,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Administration,22149298,53542699,75691997,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Administration,17559328,51558827,69118155,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Administration,19782833,52608330,72391163,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Administration,25565497,59737342,85302839,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Administration,27918165,67180968,95099133,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Administration,42346723,83087035,125433758,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Administration,45515105,87204247,132719352,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Other Health Spending: Net of HCC,100377106,128097116,228474222,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Other Health Spending: Net of HCC,107565249,139438706,247003955,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Other Health Spending: Net of HCC,120731586,156881088,277612673,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Other Health Spending: Net of HCC,139427398,177812883,317240281,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Other Health Spending: Net of HCC,157622631,194821314,352443945,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Other Health Spending: Net of HCC,170276299,234780886,405057185,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Other Health Spending: Net of HCC,180742584,239259888,420002471,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Other Health Spending: Net of HCC,190259477,240837887,431097364,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Other Health Spending: Net of HCC,196614978,247211700,443826677,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Other Health Spending: Net of HCC,248380678,318183800,566564478,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Other Health Spending: Net of HCC,124388891,345043521,469432412,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Other Health Spending: Net of HCC,129731651,350066151,479797802,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Other Health Spending: Net of HCC,132383270,362228146,494611416,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Other Health Spending: Net of HCC,135388287,373501268,508889556,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Other Health Spending: Net of HCC,141649338,390178127,531827465,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Other Health Spending: Net of HCC,147130677,409250843,556381520,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Other Health Spending: Net of HCC,152658950,418405407,571064357,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Other Health Spending: Net of HCC,159587081,437887810,597474891,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Other Health Spending: Net of HCC,169181814,452212668,621394482,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Other Health Spending: Net of HCC,170987312,471952765,642940078,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Other Health Spending: Net of HCC,177709215,505120961,682830176,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,COVID-19 Response Funding,,,0,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,COVID-19 Response Funding,,,0,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,COVID-19 Response Funding,,,0,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,COVID-19 Response Funding,,,0,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,COVID-19 Response Funding,,,0,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,COVID-19 Response Funding,,,0,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,COVID-19 Response Funding,,,0,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,COVID-19 Response Funding,,,0,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,COVID-19 Response Funding,,,0,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,COVID-19 Response Funding,,,0,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,COVID-19 Response Funding,,,0,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,COVID-19 Response Funding,,,0,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,COVID-19 Response Funding,,,0,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,COVID-19 Response Funding,,,0,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,COVID-19 Response Funding,,,0,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,COVID-19 Response Funding,,,0,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,COVID-19 Response Funding,,,0,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,COVID-19 Response Funding,110244149,467602341,577846490,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,COVID-19 Response Funding,212746872,538184074,750930946,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,COVID-19 Response Funding,59071675,129514359,188586034,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,COVID-19 Response Funding,,,0,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Total,1792964679,1947881658,3740846337,521.7,79.11,0,0,1,0,0,0,0,0,0,0,0,0
2004,Total,1952384416,2115666842,4068051258,548.7,79.33,0,0,1,0,0,0,0,0,0,0,0,0
2005,Total,2131625678,2310921363,4442547041,562.8,79.51,0,0,1,0,0,0,0,0,0,0,0,0
2006,Total,2345565384,2528536107,4874101491,584.7,79.81,0,0,1,0,0,0,0,0,0,0,0,0
2007,Total,2502768362,2688398028,5191166390,598.3,79.92,0,0,1,0,0,0,0,0,0,0,0,0
2008,Total,2630386601,2847968408,5478355009,608.5,80.05,0,0,1,0,0,0,0,0,0,0,0,0
2009,Total,2787088042,3012125506,5799213548,605.4,80.04,0,0,1,0,0,0,0,0,0,0,0,0
2010,Total,2925042499,3142274598,6067317097,598.9,80.34,0,0,1,0,0,0,0,0,0,0,0,0
2011,Total,3079532064,3304861599,6384393663,605.5,80.66,0,0,1,0,0,0,0,0,0,0,0,0
2012,Total,3144915858,3391981255,6536897113,604.1,80.86,0,0,1,0,0,0,0,0,0,0,0,0
2013,Total,3133600654,3381974184,6515574837,631.7,80.97,0,0,1,0,0,0,0,0,0,0,0,0
2014,Total,3133621657,3378258391,6511880048,619.5,80.96,0,0,1,0,0,0,0,0,0,0,0,0
2015,Total,3217827154,3470576670,6688403824,632.9,80.89,0,0,1,0,0,0,0,0,0,0,0,0
2016,Total,3268950738,3533779411,6802730150,643.2,80.74,0,0,1,0,0,0,0,0,0,0,0,0
2017,Total,3343885224,3626012743,6969897967,657.4,80.67,0,0,1,0,0,0,0,0,0,0,0,0
2018,Total,3427833590,3726946580,7154780170,659.3,80.65,0,0,1,0,0,0,0,0,0,0,0,0
2019,Total,3514785582,3817256470,7332042052,663.1,80.72,0,0,1,0,0,0,0,0,0,0,0,0
2020,Total,3655240595,4333963360,7989203956,638.2,80.84,0,0,1,0,0,0,0,0,0,0,0,0
2021,Total,3954842394,4624488377,8579330772,676.5,80.92,0,0,1,0,0,0,0,0,0,0,0,0
2022,Total,4153321316,4575985818,8729307134,660.5,81.1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Total,4398582340,4759945614,9158527955,670.2,81.17,0,0,1,0,0,0,0,0,0,0,0,0
2003,Hospitals,7014519823,7097231169,14111750992,511.8,79.43,0,0,0,0,0,0,0,0,0,1,0,0
2004,Hospitals,7395149694,7488018950,14883168644,531.5,79.66,0,0,0,0,0,0,0,0,0,1,0,0
2005,Hospitals,7748715940,7835411806,15584127745,546.5,79.93,0,0,0,0,0,0,0,0,0,1,0,0
2006,Hospitals,8395906484,8491030102,16886936586,557.6,80.25,0,0,0,0,0,0,0,0,0,1,0,0
2007,Hospitals,9039601807,9138384588,18177986395,565.9,80.52,0,0,0,0,0,0,0,0,0,1,0,0
2008,Hospitals,9537271493,9645878319,19183149811,573.8,80.79,0,0,0,0,0,0,0,0,0,1,0,0
2009,Hospitals,10111444649,10223004454,20334449103,585.9,80.99,0,0,0,0,0,0,0,0,0,1,0,0
2010,Hospitals,10610777747,10720557019,21331334766,640.8,81.24,0,0,0,0,0,0,0,0,0,1,0,0
2011,Hospitals,10814987861,10923210151,21738198011,685.8,81.46,0,0,0,0,0,0,0,0,0,1,0,0
2012,Hospitals,10922591848,11022442218,21945034066,701.4,81.6,0,0,0,0,0,0,0,0,0,1,0,0
2013,Hospitals,11088693048,11185262813,22273955861,621.5,81.77,0,0,0,0,0,0,0,0,0,1,0,0
2014,Hospitals,11320526523,11413946972,22734473496,649.0,81.92,0,0,0,0,0,0,0,0,0,1,0,0
2015,Hospitals,11665898956,11762413895,23428312851,656.8,82.05,0,0,0,0,0,0,0,0,0,1,0,0
2016,Hospitals,11359864226,11476071918,22835936143,673.4,82.22,0,0,0,0,0,0,0,0,0,1,0,0
2017,Hospitals,12200149221,12324901806,24525051027,672.9,82.36,0,0,0,0,0,0,0,0,0,1,0,0
2018,Hospitals,13122276486,13253074452,26375350938,658.9,82.48,0,0,0,0,0,0,0,0,0,1,0,0
2019,Hospitals,13859264209,13994086213,27853350423,670.4,82.63,0,0,0,0,0,0,0,0,0,1,0,0
2020,Hospitals,14400243625,14535718474,28935962099,676.2,82.57,0,0,0,0,0,0,0,0,0,1,0,0
2021,Hospitals,15257554508,15398374979,30655929487,670.5,82.62,0,0,0,0,0,0,0,0,0,1,0,0
2022,Hospitals,17348115146,17497571127,34845686273,668.3,82.65,0,0,0,0,0,0,0,0,0,1,0,0
2023,Hospitals,17597748122,17748354209,35346102331,665.8,82.72,0,0,0,0,0,0,0,0,0,1,0,0
2003,Physicians,3077227683,3098948617,6176176301,511.8,79.43,0,0,0,0,0,0,0,0,0,1,0,0
2004,Physicians,3284950728,3306962821,6591913549,531.5,79.66,0,0,0,0,0,0,0,0,0,1,0,0
2005,Physicians,3344602320,3368801734,6713404054,546.5,79.93,0,0,0,0,0,0,0,0,0,1,0,0
2006,Physicians,3462810460,3488376463,6951186923,557.6,80.25,0,0,0,0,0,0,0,0,0,1,0,0
2007,Physicians,3690240929,3717370490,7407611419,565.9,80.52,0,0,0,0,0,0,0,0,0,1,0,0
2008,Physicians,4093283108,4132670042,8225953150,573.8,80.79,0,0,0,0,0,0,0,0,0,1,0,0
2009,Physicians,4559203565,4603164654,9162368219,585.9,80.99,0,0,0,0,0,0,0,0,0,1,0,0
2010,Physicians,4946059387,4990293036,9936352423,640.8,81.24,0,0,0,0,0,0,0,0,0,1,0,0
2011,Physicians,5334415037,5374674816,10709089853,685.8,81.46,0,0,0,0,0,0,0,0,0,1,0,0
2012,Physicians,5638984670,5672904002,11311888672,701.4,81.6,0,0,0,0,0,0,0,0,0,1,0,0
2013,Physicians,6246133163,6276044448,12522177611,621.5,81.77,0,0,0,0,0,0,0,0,0,1,0,0
2014,Physicians,6603903099,6632359505,13236262604,649.0,81.92,0,0,0,0,0,0,0,0,0,1,0,0
2015,Physicians,7169813313,7200137664,14369950977,656.8,82.05,0,0,0,0,0,0,0,0,0,1,0,0
2016,Physicians,7711662873,7743546467,15455209340,673.4,82.22,0,0,0,0,0,0,0,0,0,1,0,0
2017,Physicians,7923744303,7959816970,15883561273,672.9,82.36,0,0,0,0,0,0,0,0,0,1,0,0
2018,Physicians,7868133004,7910815276,15778948280,658.9,82.48,0,0,0,0,0,0,0,0,0,1,0,0
2019,Physicians,7911332160,7962047518,15873379678,670.4,82.63,0,0,0,0,0,0,0,0,0,1,0,0
2020,Physicians,6821683101,6871567376,13693250478,676.2,82.57,0,0,0,0,0,0,0,0,0,1,0,0
2021,Physicians,7327238723,7383714277,14710953000,670.5,82.62,0,0,0,0,0,0,0,0,0,1,0,0
2022,Physicians,8704574596,8767663298,17472237894,668.3,82.65,0,0,0,0,0,0,0,0,0,1,0,0
2023,Physicians,9297032260,9362495422,18659527682,665.8,82.72,0,0,0,0,0,0,0,0,0,1,0,0
2003,Other Professionals,145701064,256336967,402038030,511.8,79.43,0,0,0,0,0,0,0,0,0,1,0,0
2004,Other Professionals,147189656,259823842,407013498,531.5,79.66,0,0,0,0,0,0,0,0,0,1,0,0
2005,Other Professionals,151537966,263107764,414645730,546.5,79.93,0,0,0,0,0,0,0,0,0,1,0,0
2006,Other Professionals,152538515,276747655,429286170,557.6,80.25,0,0,0,0,0,0,0,0,0,1,0,0
2007,Other Professionals,164391645,281446097,445837742,565.9,80.52,0,0,0,0,0,0,0,0,0,1,0,0
2008,Other Professionals,175489823,299458981,474948804,573.8,80.79,0,0,0,0,0,0,0,0,0,1,0,0
2009,Other Professionals,201485286,326226261,527711547,585.9,80.99,0,0,0,0,0,0,0,0,0,1,0,0
2010,Other Professionals,209609358,331081754,540691113,640.8,81.24,0,0,0,0,0,0,0,0,0,1,0,0
2011,Other Professionals,219295936,340762506,560058442,685.8,81.46,0,0,0,0,0,0,0,0,0,1,0,0
2012,Other Professionals,244846325,368078137,612924461,701.4,81.6,0,0,0,0,0,0,0,0,0,1,0,0
2013,Other Professionals,259967004,384529357,644496361,621.5,81.77,0,0,0,0,0,0,0,0,0,1,0,0
2014,Other Professionals,279143024,408824613,687967637,649.0,81.92,0,0,0,0,0,0,0,0,0,1,0,0
2015,Other Professionals,769117586,905997540,1675115126,656.8,82.05,0,0,0,0,0,0,0,0,0,1,0,0
2016,Other Professionals,927124441,1077081182,2004205623,673.4,82.22,0,0,0,0,0,0,0,0,0,1,0,0
2017,Other Professionals,1025985898,1187516239,2213502137,672.9,82.36,0,0,0,0,0,0,0,0,0,1,0,0
2018,Other Professionals,1088157971,1273350074,2361508045,658.9,82.48,0,0,0,0,0,0,0,0,0,1,0,0
2019,Other Professionals,1143277374,1352617118,2495894493,670.4,82.63,0,0,0,0,0,0,0,0,0,1,0,0
2020,Other Professionals,1139702689,1324148966,2463851656,676.2,82.57,0,0,0,0,0,0,0,0,0,1,0,0
2021,Other Professionals,1286481905,1510352496,2796834401,670.5,82.62,0,0,0,0,0,0,0,0,0,1,0,0
